maintenance_id,aircraft_id,aircraft_model,base_location,maintenance_type,supplier_name,event_date,downtime_hours,supplier_delay_days,maintenance_status,maintenance_cost,readiness_score
55,AC-7046,C-130,Eglin AFB,Landing Gear,Boeing,05/04/2024,27.0,1,Awaiting Parts,36560.51,71
56,AC-6169,F-35A,Eglin AFB,Electrical,Northrop,2024-03-02,21.0,8,In Progress,47761.52,69
57,AC-6912,F-22,Hill AFB,Engine Repair,L3Harris,2024-05-31,,N/A,In Progress,14325.83,81
58,AC-2680,F-35A,Eglin AFB,Hydraulics,GE Aerospace,03/20/2025,11.0,4,In Progress,29093.82,87
59,AC-7565,C-130,Fort Worth,Landing Gear,Raytheon,2025-02-24,20.0,8,Completed,25156.02,68
60,AC-4697,B-2,Nellis AFB,Software Update,GE Aerospace,01/26/2025,29.0,3,Completed,57642.03,69
61,AC-4457,F-16,Fort Worth,Avionics,Northrop,2025-04-30,23.0,N/A,Awaiting Parts,12149.29,74
62,AC-5720,F-16,Nellis AFB,Engine Repair,Northrop,01/17/2024,21.0,4,Delayed,33568.01,73
63,AC-5352,F-22,Fort Worth,Engine Repair,Northrop,11/27/2024,21.0,4,In Progress,14838.48,72
64,AC-5460,B-2,Eglin AFB,Software Update,GE Aerospace ,2024-06-04,,3,In Progress,35276.79,93
65,AC-1339,F-16,Eglin AFB,Engine Repair,Northrop,04/27/2024,19.0,0,Delayed,27078.17,86
66,AC-2494,C-130,Hill AFB,Software Update,Boeing,02/20/2025,21.0,1,Awaiting Parts,26844.7,80
67,AC-1601,C-130,Fort Worth,Hydraulics,Boeing,04/28/2025,18.0,0,Completed,29293.45,83
68,AC-4073,B-2,Hill AFB,Landing Gear,GE Aerospace,07/30/2024,22.0,9,Delayed,37645.62,64
69,AC-2989,F-35A,Eglin AFB,Avionics,Northrop,12/23/2024,,1,Delayed,31180.42,95
70,AC-3522,C-130,Hill AFB,Landing Gear,Boeing,08/24/2024,22.0,7,Awaiting Parts,71232.78,67
71,AC-9327,F-22,Fort Worth,Hydraulics,GE Aerospace,04/16/2025,22.0,9,Completed,36448.02,73
72,AC-9022,F-22,Nellis AFB,Landing Gear,GE Aerospace,10/27/2024,23.0,3,Awaiting Parts,34107.63,78
73,AC-7274,F-22,Nellis AFB,Engine Repair,Boeing,12/23/2024,11.0,4,Awaiting Parts,19175.64,83
74,AC-9115,F-35A,Luke AFB,Landing Gear,L3Harris,11/29/2024,18.0,14,Completed,2592.82,65
75,AC-7717,F-22,Fort Worth,Software Update,Boeing,01/04/2025,23.0,0,In Progress,19336.82,74
76,AC-8994,B-2,Fort Worth,Landing Gear,Raytheon,07/13/2024,26.0,5,Delayed,12067.06,69
77,AC-2646,C-130,Luke AFB,Electrical,Boeing,02/20/2024,,7,In Progress,16235.6,86
78,AC-7751,B-2,Luke AFB,Avionics,Northrop,2024-05-05,19.0,5,Delayed,17180.8,79
79,AC-5161,C-130,Hill AFB,Electrical,Raytheon,04/28/2024,35.0,7,Delayed,698.29,60
80,AC-7951,F-16,Nellis AFB,Hydraulics,Northrop,10/27/2024,19.0,2,Awaiting Parts,35229.2,78
81,AC-1359,C-130,Hill AFB,Engine Repair,L3Harris,12/24/2024,11.0,4,Awaiting Parts,31059.85,84
82,AC-6772,F-22,Luke AFB,Landing Gear,Boeing,02/01/2025,24.0,0,Delayed,20985.99,74
83,AC-6061,C-130,Fort Worth,Landing Gear,Boeing,11/26/2024,14.0,2,Awaiting Parts,46185.45,79
84,AC-9697,B-2,Hill AFB,Avionics,Boeing,10/03/2024,21.0,0,In Progress,36014.34,79
85,AC-2233,F-22,Luke AFB,electrical,GE Aerospace,02/28/2024,34.0,9,Awaiting Parts,6767.56,59
86,AC-5295,B-2,Nellis AFB,Electrical,Boeing,2024-08-20,14.0,N/A,In Progress,16507.97,76
87,AC-8606,F-16,Nellis AFB,Engine Repair,Northrop,2024-02-02,,8,Completed,13876.83,76
88,AC-8432,F-16,Eglin AFB,Software Update,L3Harris,03/10/2024,17.0,0,Completed,12707.35,84
89,AC-1536,F-16,Luke AFB,Software Update,GE Aerospace,04/25/2025,15.0,0,In Progress,44588.94,84
90,AC-7523,F-16,Luke AFB,Engine Repair,GE Aerospace,2024-07-02,6.0,3,Completed,26568.89,86
91,AC-4362,F-35A,Eglin AFB,Avionics,L3Harris,03/05/2024,29.0,0,Delayed,38957.97,75
92,AC-3129,B-2,Hill AFB,Avionics,Raytheon ,05/21/2024,,N/A,Delayed,30545.24,78
93,AC-3076,C-130,Eglin AFB,Engine Repair,Raytheon,05/15/2024,19.0,2,Completed,25837.63,74
94,AC-9543,F-16,Nellis AFB,Electrical,Raytheon,2024-11-10,14.0,5,Completed,32945.57,76
95,AC-6277,B-2,Luke AFB,Engine Repair,Northrop,02/07/2024,30.0,0,In Progress,50596.4,66
96,AC-9282,B-2,Nellis AFB,Engine Repair,Raytheon,05/30/2024,2.0,4,Delayed,32059.81,96
97,AC-8430,C-130,Nellis AFB,Electrical,Raytheon,07/30/2024,20.0,2,Delayed,22502.53,78
98,AC-2527,C-130,Fort Worth,Electrical,Boeing,02/16/2024,14.0,2,In Progress,35195.23,80
99,AC-7929,F-35A,Hill AFB,Landing Gear,Boeing,03/23/2025,20.0,2,Awaiting Parts,35795.2,83
100,AC-7022,F-35A,Hill AFB,Landing Gear,Northrop,03/08/2025,20.0,8,Completed,32555.55,75
101,AC-1474,F-22,Hill AFB,Electrical,Boeing,12/21/2024,11.0,2,Delayed,33967.52,86
102,AC-1502,F-35A,Eglin AFB,Avionics,GE Aerospace,03/13/2024,22.0,4,In Progress,26407.93,79
103,AC-3549,F-22,Eglin AFB,Engine Repair,Raytheon,02/13/2024,28.0,2,Awaiting Parts,31565.17,65
104,AC-6655,C-130,Fort Worth,Hydraulics,L3Harris,09/19/2024,16.0,N/A,Awaiting Parts,38185.32,76
105,AC-4460,F-22,Hill AFB,Hydraulics,Boeing,2024-04-14,24.0,8,Delayed,40665.75,67
106,AC-6802,F-35A,Nellis AFB,Electrical,Raytheon,09/13/2024,18.0,N/A,In Progress,21276.8,78
107,AC-7843,F-16,Fort Worth,Software Update,Raytheon,12/29/2024,20.0,4,Awaiting Parts,26163.95,81
108,AC-2734,F-22,Nellis AFB,Landing Gear,GE Aerospace,02/15/2024,22.0,1,In Progress,50108.65,78
109,AC-2868,B-2,Eglin AFB,Avionics,Boeing,02/09/2024,9.0,0,Delayed,38897.33,94
110,AC-3504,F-35A,Luke AFB,Electrical,GE Aerospace,04/11/2024,24.0,7,In Progress,32540.15,66
111,AC-2118,C-130,Nellis AFB,Electrical,Boeing,03/18/2024,17.0,1,Completed,25909.65,84
112,AC-5703,F-35A,Fort Worth,Landing Gear,L3Harris,01/30/2024,12.0,8,Completed,23235.31,80
113,AC-6267,B-2,Nellis AFB,Landing Gear,Northrop,11/29/2024,11.0,3,In Progress,29955.18,84
114,AC-1641,F-22,Nellis AFB,Software Update,L3Harris,11/26/2024,13.0,1,In Progress,27924.25,83
115,AC-1857,F-16,Fort Worth,Hydraulics,Raytheon,12/13/2024,19.0,2,Delayed,19347.54,83
116,AC-6082,C-130,Luke AFB,Landing Gear,Raytheon,03/13/2024,19.0,0,Delayed,8110.43,81
117,AC-9624,F-35A,Nellis AFB,Landing Gear,Boeing,2025-01-13,12.0,4,In Progress,28730.89,89
118,AC-3538,F-35A,Hill AFB,Engine Repair,L3Harris,04/25/2024,29.0,8,Completed,23080.74,60
119,AC-7172,F-22,Luke AFB,Avionics,L3Harris,11/12/2024,17.0,0,Awaiting Parts,24777.84,80
120,AC-5668,C-130,Luke AFB,Landing Gear,Northrop,05/11/2025,15.0,6,Delayed,15073.23,81
121,AC-5616,C-130,Eglin AFB,Landing Gear,GE Aerospace,08/13/2024,22.0,11,Delayed,23694.88,69
122,AC-2680,B-2,Fort Worth,Hydraulics,Raytheon,09/03/2024,21.0,7,Delayed,20185.35,72
123,AC-8391,F-16,Fort Worth,Software Update,Raytheon ,04/11/2025,19.0,5,Completed,26172.11,74
124,AC-6493,F-22,Luke AFB,Engine Repair,Boeing ,04/21/2025,11.0,5,Awaiting Parts,30975.98,80
125,AC-5193,F-22,Luke AFB,Landing Gear,L3Harris,02/10/2024,29.0,8,In Progress,50838.19,58
126,AC-8489,F-35A,Fort Worth,Software Update,L3Harris ,11/23/2024,11.0,8,Delayed,27200.1,85
127,AC-7825,F-22,Fort Worth,Landing Gear,Boeing,2024-06-29,35.0,1,Completed,14923.34,62
128,AC-7116,F-16,Fort Worth,Hydraulics,Raytheon,11/21/2024,13.0,0,In Progress,18690.94,88
129,AC-3868,C-130,Nellis AFB,Electrical,Northrop,06/22/2024,11.0,5,Awaiting Parts,29101.07,89
130,AC-1686,F-16,Hill AFB,Landing Gear,GE Aerospace,02/09/2025,33.0,8,Delayed,18077.16,57
131,AC-6438,F-16,Fort Worth,Hydraulics,GE Aerospace,01/25/2024,10.0,6,Awaiting Parts,9157.2,89
132,AC-7018,B-2,Hill AFB,Engine Repair,GE Aerospace,2024-12-20,32.0,9,In Progress,19369.89,61
133,AC-6021,C-130,Eglin AFB,Electrical,GE Aerospace,2024-12-04,4.0,10,In Progress,23625.52,85
134,AC-2229,C-130,Hill AFB,Landing Gear,Northrop,11/23/2024,27.0,0,Awaiting Parts,17807.5,68
135,AC-7001,F-16,Nellis AFB,Landing Gear,Raytheon,02/02/2025,18.0,5,In Progress,19599.21,82
136,AC-7012,C-130,Hill AFB,Electrical,Boeing,03/11/2024,22.0,0,Awaiting Parts,23291.45,81
137,AC-5264,C-130,Luke AFB,Landing Gear,Boeing,03/01/2024,18.0,7,Delayed,33539.38,74
138,AC-2438,F-16,Hill AFB,Electrical,Raytheon,04/05/2025,9.0,0,Delayed,40332.12,93
139,AC-6922,B-2,Luke AFB,Engine Repair,Northrop,11/22/2024,20.0,2,In Progress,43613.82,75
140,AC-3126,B-2,Fort Worth,Engine Repair,Boeing,02/15/2025,18.0,9,Awaiting Parts,25810.22,76
141,AC-6194,F-35A,Nellis AFB,Software Update,L3Harris,02/07/2024,34.0,12,Delayed,22012.43,55
142,AC-3034,B-2,Luke AFB,Hydraulics,Northrop,2024-09-14,25.0,7,In Progress,41423.58,63
143,AC-5496,F-22,Hill AFB,Landing Gear,L3Harris,2024-11-21,10.0,7,Delayed,37701.09,86
144,AC-6531,B-2,Fort Worth,Engine Repair,Raytheon,2025-04-06,3.0,0,Delayed,529.21,100
145,AC-9159,B-2,Hill AFB,Electrical,Boeing,11/23/2024,15.0,7,In Progress,43028.28,73
146,AC-7809,C-130,Nellis AFB,Avionics,Boeing,03/21/2024,18.0,11,In Progress,8438.78,73
147,AC-2739,F-16,Luke AFB,Software Update,Raytheon,07/08/2024,4.0,4,In Progress,29608.79,95
148,AC-3616,F-16,Eglin AFB,Electrical,Boeing,2024-08-02,17.0,0,Awaiting Parts,23930.56,81
149,AC-7442,B-2,Nellis AFB,Avionics,Northrop ,01/12/2024,,7,Awaiting Parts,29399.18,82
150,AC-3194,F-16,Hill AFB,Software Update,Boeing,2024-02-25,10.0,2,In Progress,12289.44,89
151,AC-5582,B-2,Eglin AFB,Engine Repair,Northrop,09/15/2024,17.0,8,In Progress,13171.29,77
152,AC-9341,C-130,Eglin AFB,Engine Repair,Raytheon,2024-03-14,22.0,2,Awaiting Parts,15485.53,74
153,AC-6218,F-22,Nellis AFB,Landing Gear,Boeing,03/12/2024,17.0,0,Awaiting Parts,18356.21,83
154,AC-7035,F-16,Fort Worth,Software Update,L3Harris,02/21/2025,8.0,12,Completed,25423.16,75
155,AC-4728,F-35A,Eglin AFB,Software Update,Northrop,12/01/2024,12.0,5,Awaiting Parts,23652.06,87
156,AC-2800,F-22,Fort Worth,Software Update,Boeing,01/17/2024,16.0,7,Awaiting Parts,34090.09,81
157,AC-9498,F-22,Eglin AFB,Hydraulics,GE Aerospace,02/01/2024,13.0,2,In Progress,21699.38,82
158,AC-5331,B-2,Nellis AFB,Avionics,Northrop,03/20/2025,0.0,0,In Progress,41402.49,100
159,AC-6194,C-130,Hill AFB,Landing Gear,Boeing,12/19/2024,31.0,4,Awaiting Parts,31918.68,67
160,AC-5758,F-35A,Hill AFB,Electrical,Raytheon,02/15/2025,20.0,17,Awaiting Parts,38434.9,60
161,AC-5450,F-22,Fort Worth,Landing Gear,L3Harris,05/18/2024,16.0,1,Delayed,5722.64,86
162,AC-8739,F-35A,Luke AFB,Engine Repair,L3Harris,07/30/2024,19.0,1,Awaiting Parts,7932.96,80
163,AC-6262,F-16,Fort Worth,Engine Repair,L3Harris,05/08/2025,12.0,0,Completed,45245.7,87
164,AC-1595,C-130,Nellis AFB,Avionics,Boeing,03/27/2025,,4,Completed,42759.33,68
165,AC-9901,B-2,Nellis AFB,Avionics,L3Harris,08/20/2024,18.0,1,Delayed,43277.49,86
166,AC-1230,F-16,Hill AFB,Landing Gear,Northrop,2025-01-02,22.0,0,Awaiting Parts,22715.94,75
167,AC-4027,F-22,Nellis AFB,Hydraulics,Northrop,2024-12-08,10.0,0,In Progress,36114.13,86
168,AC-1187,F-16,Hill AFB,Electrical,Northrop,2025-01-05,33.0,0,Awaiting Parts,31755.63,71
169,AC-2923,F-16,Hill AFB,Landing Gear,Northrop,03/30/2025,12.0,3,In Progress,17891.27,84
170,AC-4578,F-22,Eglin AFB,Engine Repair,L3Harris,08/29/2024,11.0,N/A,Completed,15028.6,87
171,AC-9792,F-22,Luke AFB,Hydraulics,L3Harris,09/15/2024,20.0,4,Awaiting Parts,22132.62,74
172,AC-8429,F-22,Eglin AFB,Software Update,GE Aerospace,02/18/2025,10.0,2,In Progress,34064.69,83
173,AC-4570,B-2,Fort Worth,Engine Repair,GE Aerospace,02/22/2025,22.0,1,Completed,26191.99,72
174,AC-3948,F-22,Nellis AFB,Hydraulics,GE Aerospace,05/26/2024,24.0,0,Completed,31520.32,77
175,AC-6697,F-35A,Luke AFB,Landing Gear,GE Aerospace,10/03/2024,12.0,7,Completed,15840.89,78
176,AC-9920,C-130,Eglin AFB,Software Update,Northrop,08/25/2024,3.0,0,Completed,25577.02,100
177,AC-4943,F-22,Fort Worth,Engine Repair,L3Harris,2024-11-10,20.0,1,Completed,32663.11,74
178,AC-9843,F-22,Fort Worth,Avionics,L3Harris,08/12/2024,4.0,4,In Progress,10467.81,90
179,AC-4881,F-16,Luke AFB,Electrical,L3Harris,02/23/2025,12.0,N/A,Delayed,14675.04,83
180,AC-6642,C-130,Eglin AFB,Hydraulics,GE Aerospace,09/10/2024,14.0,9,Awaiting Parts,18077.3,72
181,AC-8586,F-35A,Eglin AFB,Software Update,GE Aerospace,03/15/2025,24.0,0,Delayed,31357.65,73
182,AC-2514,B-2,Luke AFB,Engine Repair,Boeing,08/18/2024,29.0,N/A,Completed,15437.26,71
183,AC-4555,C-130,Luke AFB,Hydraulics,Boeing,01/05/2025,,4,Completed,29453.75,79
184,AC-4350,C-130,Luke AFB,Landing Gear,Boeing,04/13/2025,13.0,5,In Progress,23131.87,80
185,AC-8635,F-35A,Nellis AFB,Hydraulics,Northrop ,03/27/2025,27.0,6,Delayed,29051.23,69
186,AC-7841,F-16,Luke AFB,Avionics,Boeing,10/10/2024,14.0,3,In Progress,19809.3,87
187,AC-9037,C-130,Luke AFB,Electrical,Boeing,2025-05-09,21.0,3,Completed,28477.3,81
188,AC-1794,F-35A,Nellis AFB,Avionics,Northrop,2024-02-08,34.0,8,Awaiting Parts,21087.72,63
189,AC-8916,C-130,Fort Worth,Engine Repair,L3Harris,12/07/2024,,3,In Progress,542.51,74
190,AC-8054,F-22,Fort Worth,Engine Repair,L3Harris,2024-09-14,9.0,0,In Progress,20781.84,96
191,AC-8520,B-2,Luke AFB,Electrical,Northrop,07/10/2024,18.0,11,Completed,28923.13,72
192,AC-1919,F-35A,Luke AFB,Engine Repair,GE Aerospace,10/09/2024,16.0,8,Completed,1533.62,78
193,AC-8790,F-16,Fort Worth,engine repair,Boeing,04/27/2024,19.0,N/A,In Progress,7256.97,71
194,AC-2260,F-16,Luke AFB,Landing Gear,Northrop,03/14/2024,27.0,6,In Progress,20016.55,68
195,AC-9204,F-16,Fort Worth,Engine Repair,GE Aerospace,02/08/2025,23.0,14,Awaiting Parts,27182.4,59
196,AC-8381,C-130,Luke AFB,Hydraulics,L3Harris,11/20/2024,19.0,3,Awaiting Parts,14801.87,77
197,AC-2204,F-35A,Hill AFB,Avionics,GE Aerospace,02/12/2025,24.0,1,In Progress,25858.79,73
198,AC-8286,F-16,Hill AFB,Engine Repair,Northrop,2025-04-27,14.0,6,Awaiting Parts,29003.95,79
199,AC-6315,C-130,Fort Worth,Hydraulics,GE Aerospace,10/10/2024,26.0,2,Delayed,21761.5,68
200,AC-3274,F-16,Hill AFB,Hydraulics,GE Aerospace,2024-07-13,10.0,3,In Progress,29527.61,84
201,AC-9123,B-2,Eglin AFB,Avionics,GE Aerospace,2024-05-08,24.0,1,In Progress,35435.27,73
202,AC-8212,F-16,Nellis AFB,Electrical,L3Harris,2025-03-17,28.0,6,Delayed,47521.55,66
203,AC-5775,C-130,Eglin AFB,Avionics,Boeing,07/22/2024,11.0,0,Completed,3655.36,89
204,AC-1440,C-130,Luke AFB,Software Update,Boeing,10/06/2024,29.0,7,Awaiting Parts,24332.98,61
205,AC-5139,F-22,Nellis AFB,Software Update,Raytheon,06/04/2024,20.0,0,Awaiting Parts,54349.02,78
206,AC-2392,F-35A,Luke AFB,Electrical,Boeing,2024-07-03,19.0,5,Awaiting Parts,33709.2,79
207,AC-2735,F-35A,Fort Worth,Hydraulics,Northrop,02/11/2025,21.0,5,Delayed,15514.31,75
208,AC-9199,F-22,Hill AFB,Engine Repair,GE Aerospace,2025-01-30,21.0,12,Completed,41145.04,72
209,AC-6620,C-130,Luke AFB,Landing Gear,GE Aerospace,06/27/2024,30.0,2,Awaiting Parts,13124.74,67
210,AC-1370,F-16,Fort Worth,Electrical,Northrop,02/18/2025,16.0,5,Delayed,38130.3,75
211,AC-7636,F-22,Luke AFB,Electrical,GE Aerospace,08/24/2024,4.0,11,Awaiting Parts,23103.91,83
212,AC-4371,F-16,Fort Worth,Landing Gear,Raytheon,12/26/2024,14.0,0,Delayed,5141.72,84
213,AC-9646,F-16,Eglin AFB,Software Update,L3Harris,03/17/2025,24.0,5,Awaiting Parts,9520.47,73
214,AC-2388,F-22,Hill AFB,Engine Repair,Northrop,12/27/2024,7.0,3,Awaiting Parts,45028.26,89
215,AC-4043,C-130,Eglin AFB,Electrical,Northrop,07/15/2024,15.0,0,In Progress,22051.08,86
216,AC-1157,C-130,Luke AFB,Avionics,GE Aerospace,03/19/2025,15.0,0,Awaiting Parts,24348.46,85
217,AC-2354,B-2,Fort Worth,Avionics,Boeing,2024-09-07,16.0,7,Awaiting Parts,47187.47,74
218,AC-9369,F-35A,Eglin AFB,Engine Repair,Boeing,09/10/2024,27.0,3,Completed,11721.69,73
219,AC-2677,F-22,Hill AFB,Engine Repair,GE Aerospace,04/21/2024,38.0,5,Completed,25167.15,58
220,AC-6744,B-2,Nellis AFB,Avionics,L3Harris,2025-02-19,17.0,5,Completed,23267.68,82
221,AC-3758,F-16,Hill AFB,Hydraulics,L3Harris,11/01/2024,13.0,2,Completed,24606.96,88
222,AC-5543,F-22,Luke AFB,Avionics,Northrop,07/29/2024,13.0,2,Awaiting Parts,26277.16,80
223,AC-7786,C-130,Nellis AFB,Engine Repair,Raytheon,05/17/2024,15.0,11,In Progress,6811.64,79
224,AC-2526,C-130,Hill AFB,Engine Repair,L3Harris,10/24/2024,26.0,9,Awaiting Parts,119.32,60
225,AC-3139,B-2,Nellis AFB,Hydraulics,Raytheon,2024-06-21,15.0,3,Completed,8109.86,85
226,AC-1011,C-130,Luke AFB,Electrical,Northrop,08/13/2024,11.0,0,In Progress,46027.25,91
227,AC-3711,F-35A,Nellis AFB,Electrical,Boeing ,02/12/2024,25.0,10,Completed,33660.06,65
228,AC-3174,B-2,Luke AFB,Landing Gear,GE Aerospace,2024-09-01,8.0,2,Awaiting Parts,30872.49,86
229,AC-2463,F-35A,Fort Worth,Hydraulics,Boeing,04/27/2024,8.0,7,Delayed,22116.1,86
230,AC-1138,B-2,Luke AFB,Software Update,Boeing,02/05/2024,15.0,7,Awaiting Parts,30331.16,81
231,AC-2646,F-22,Fort Worth,Landing Gear,GE Aerospace,04/21/2024,15.0,9,Delayed,12027.24,72
232,AC-5668,F-35A,Hill AFB,Avionics,L3Harris,10/10/2024,22.0,7,Completed,21285.44,75
233,AC-7322,F-35A,Luke AFB,Software Update,L3Harris,2024-05-02,20.0,N/A,In Progress,36088.32,82
234,AC-7895,F-16,Eglin AFB,Electrical,Northrop ,03/16/2025,16.0,2,Completed,37588.11,86
235,AC-1990,C-130,Eglin AFB,Hydraulics,L3Harris,04/20/2024,12.0,0,Delayed,6320.45,83
236,AC-3545,B-2,Hill AFB,Software Update,L3Harris,09/18/2024,22.0,0,Completed,46057.53,76
237,AC-1948,F-22,Fort Worth,Software Update,Raytheon,05/03/2025,1.0,11,Delayed,27532.21,86
238,AC-3684,C-130,Hill AFB,Landing Gear,L3Harris,12/25/2024,17.0,2,Delayed,29789.63,76
239,AC-1480,F-16,Nellis AFB,Hydraulics,L3Harris,2025-01-10,17.0,9,Completed,26370.73,70
240,AC-3734,F-16,Luke AFB,Hydraulics,Raytheon,01/29/2024,19.0,3,Completed,24316.65,80
241,AC-8729,F-16,Nellis AFB,Avionics,Northrop,05/05/2024,20.0,0,Awaiting Parts,8821.77,75
